MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Cond,Foundation,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Functional,Fireplaces,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Longitude,Latitude
Two_Story_1946_and_Newer,Residential_Low_Density,60,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,994,994,GasA,Good,Y,SBrkr,1028,776,1804,0,0,2,1,3,1,7,Typ,1,Attchd,Fin,2,442,Typical,Paved,140,60,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,189000,-93.639068,42.059193
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85,10176,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Average,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,PConc,Typical,Gd,GLQ,3,Unf,0,663,1300,GasA,Good,Y,SBrkr,1341,0,1341,1,0,1,1,2,1,5,Typ,1,Attchd,Unf,2,506,Typical,Paved,192,0,0,0,0,0,No_Pool,No_Fence,None,0,2,2010,WD ,Normal,171500,-93.634626,42.057268
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,105,11751,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480,Typical,CBlock,Typical,No,BLQ,2,Unf,0,1139,1844,GasA,Excellent,Y,SBrkr,1844,0,1844,0,0,2,0,3,1,7,Typ,1,Attchd,RFn,2,546,Typical,Paved,0,122,0,0,0,0,No_Pool,Minimum_Privacy,None,0,1,2010,COD,Normal,190000,-93.633962,42.050346
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,8400,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,1970,1970,Gable,CompShg,Plywood,Plywood,None,0,Typical,CBlock,Typical,No,ALQ,1,Rec,78,0,882,GasA,Typical,Y,SBrkr,882,0,882,1,0,1,0,2,1,4,Typ,0,Attchd,Fin,2,525,Typical,Paved,240,0,0,0,0,0,No_Pool,Minimum_Privacy,None,0,4,2010,WD ,Normal,126000,-93.627112,42.053395
Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Northpark_Villa,Norm,Norm,Twnhs,Two_Story,Above_Average,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,341,855,GasA,Typical,Y,SBrkr,855,601,1456,0,0,2,1,3,1,6,Typ,1,Attchd,Unf,2,440,Typical,Paved,173,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,149900,-93.625924,42.050683
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,94,12883,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256,Typical,PConc,Typical,No,Unf,7,Unf,0,1544,1544,GasA,Excellent,Y,SBrkr,1544,0,1544,0,0,2,0,3,1,7,Typ,0,Attchd,RFn,3,868,Typical,Paved,0,35,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,New,Partial,290941,-93.6528306,42.0612885
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,79,14122,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240,Typical,PConc,Typical,No,GLQ,3,Unf,0,1794,1822,GasA,Excellent,Y,SBrkr,1822,0,1822,0,0,2,0,3,1,8,Typ,1,Attchd,RFn,3,678,Typical,Paved,0,119,0,0,0,0,No_Pool,No_Fence,None,0,2,2010,WD ,Normal,259000,-93.652336,42.060879
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,100,12919,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760,Typical,PConc,Typical,Gd,GLQ,3,Unf,0,142,2330,GasA,Excellent,Y,SBrkr,2364,0,2364,1,0,2,1,2,1,11,Typ,2,Attchd,Fin,3,820,Typical,Paved,0,67,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,New,Partial,611657,-93.655051,42.059617
One_Story_PUD_1946_and_Newer,Residential_Low_Density,44,6371,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,TwnhsE,One_Story,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128,Typical,PConc,Typical,Mn,GLQ,3,Unf,0,625,1358,GasA,Excellent,Y,SBrkr,1358,0,1358,1,0,2,0,2,1,6,Typ,1,Attchd,RFn,2,484,Typical,Paved,192,35,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,New,Partial,224000,-93.650436,42.058388
Two_Story_PUD_1946_and_Newer,Residential_Low_Density,36,2628,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,Twnhs,Two_Story,Average,2003,2003,Gable,CompShg,VinylSd,Wd Shng,Stone,106,Typical,PConc,Typical,No,Unf,7,Unf,0,764,764,GasA,Excellent,Y,SBrkr,764,862,1626,0,0,2,1,2,1,6,Typ,0,BuiltIn,RFn,2,474,Typical,Paved,0,27,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,175500,-93.651013,42.057181
